Frame;DeltaTime;FPS
Average;0.00145398;688
0;0.0384316;26
1;0.0037873;264
2;0.0057135;175
3;0.001164;859
4;0.0011839;845
5;0.0010771;928
6;0.0015359;651
7;0.0014393;695
8;0.0031138;321
9;0.0013463;743
10;0.0012135;824
11;0.0010126;988
12;0.0017868;560
13;0.0022821;438
14;0.0013421;745
15;0.0010705;934
16;0.0010506;952
17;0.0011257;888
18;0.001235;810
19;0.0017431;574
20;0.0018191;550
21;0.0013499;741
22;0.0012379;808
23;0.0015671;638
24;0.0021574;464
25;0.0010201;980
26;0.0014749;678
27;0.001256;796
28;0.0012591;794
29;0.0013645;733
30;0.0020644;484
31;0.0018833;531
32;0.0010943;914
33;0.0019699;508
34;0.001586;631
35;0.0012542;797
36;0.0009822;1018
37;0.0010593;944
38;0.0011998;833
39;0.0012048;830
40;0.0011281;886
41;0.0010965;912
42;0.0015716;636
43;0.0023402;427
44;0.0011095;901
45;0.0017539;570
46;0.0015654;639
47;0.0011277;887
48;0.0010275;973
49;0.0010388;963
50;0.0010059;994
51;0.0010551;948
52;0.0011676;856
53;0.001161;861
54;0.0015381;650
55;0.0015359;651
56;0.00274;365
57;0.0012704;787
58;0.0014309;699
59;0.0011607;862
60;0.0010971;911
61;0.0009732;1028
62;0.0012689;788
63;0.0011892;841
64;0.0009485;1054
65;0.0010423;959
66;0.0012726;786
67;0.0018425;543
68;0.0022706;440
69;0.0012;833
70;0.0013596;736
71;0.0011932;838
72;0.0009961;1004
73;0.0009449;1058
74;0.0013514;740
75;0.0010994;910
76;0.0009655;1036
77;0.0010651;939
78;0.0011353;881
79;0.0011819;846
80;0.001931;518
81;0.0025297;395
82;0.0016386;610
83;0.0010655;939
84;0.0009695;1031
85;0.0010712;934
86;0.001004;996
87;0.0009034;1107
88;0.0009672;1034
89;0.0010499;952
90;0.0012593;794
91;0.0009682;1033
92;0.0012157;823
93;0.0021502;465
94;0.0032722;306
95;0.0012352;810
96;0.0009911;1009
97;0.0010129;987
98;0.0009544;1048
99;0.001273;786
100;0.0009717;1029
101;0.0009623;1039
102;0.001024;977
103;0.0011292;886
104;0.0010132;987
105;0.0025514;392
106;0.0039537;253
107;0.0013856;722
108;0.0012535;798
109;0.0013861;721
110;0.0010353;966
111;0.0024181;414
112;0.0020514;487
113;0.0019333;517
114;0.0019966;501
115;0.0019823;504
116;0.0013251;755
117;0.0011214;892
118;0.0013016;768
119;0.0011739;852
120;0.0010545;948
121;0.0009767;1024
122;0.0013396;746
123;0.0012295;813
124;0.0021988;455
125;0.0013977;715
126;0.0033139;302
127;0.0018033;555
128;0.0012006;833
129;0.0011379;879
130;0.0010277;973
131;0.0012601;794
132;0.0010194;981
133;0.0010593;944
134;0.0015917;628
135;0.0013766;726
136;0.0014093;710
137;0.0019042;525
138;0.0031135;321
139;0.0011688;856
140;0.0010858;921
141;0.0010865;920
142;0.0010375;964
143;0.0010632;941
144;0.0016042;623
145;0.0014743;678
146;0.0013089;764
147;0.0019447;514
148;0.001708;585
149;0.0023809;420
150;0.0010927;915
151;0.0012238;817
152;0.0010148;985
153;0.0010701;934
154;0.0009721;1029
155;0.0027076;369
156;0.0013092;764
157;0.0012013;832
158;0.0014546;687
159;0.0021368;468
160;0.002733;366
161;0.0013669;732
162;0.0012346;810
163;0.0011919;839
164;0.0015803;633
165;0.001274;785
166;0.0014445;692
167;0.0011771;850
168;0.001197;835
169;0.0011454;873
170;0.0015708;637
171;0.002457;407
172;0.0010198;981
173;0.0011758;850
174;0.001;1000
175;0.001018;982
176;0.0014178;705
177;0.0013145;761
178;0.0010462;956
179;0.0010347;966
180;0.0010222;978
181;0.0015889;629
182;0.0012002;833
183;0.0029762;336
184;0.0016685;599
185;0.0009807;1020
186;0.0009302;1075
187;0.001678;596
188;0.0011916;839
189;0.0010348;966
190;0.0009707;1030
191;0.0009857;1015
192;0.0011731;852
193;0.0010141;986
194;0.0010732;932
195;0.0011572;864
196;0.0030097;332
197;0.001208;828
198;0.0012741;785
199;0.0011152;897
200;0.0014897;671
201;0.0014047;712
202;0.0012576;795
203;0.0010823;924
204;0.0009622;1039
205;0.001317;759
206;0.0016266;615
207;0.0013281;753
208;0.0035598;281
209;0.0009751;1026
210;0.0014196;704
211;0.0011265;888
212;0.0010671;937
213;0.0010086;991
214;0.0011909;840
215;0.0012286;814
216;0.0010782;927
217;0.000977;1024
218;0.00114;877
219;0.0011236;890
220;0.0012933;773
221;0.0025618;390
222;0.0011885;841
223;0.0012982;770
224;0.0012263;815
225;0.0010259;975
226;0.0010067;993
227;0.0009504;1052
228;0.0012605;793
229;0.0009789;1022
230;0.0010017;998
231;0.0009688;1032
232;0.0011951;837
233;0.0016986;589
234;0.0014773;677
235;0.0014997;667
236;0.0024351;411
237;0.0016101;621
238;0.0009862;1014
239;0.0012993;770
240;0.0010351;966
241;0.0010127;987
242;0.0012757;784
243;0.0012606;793
244;0.0010269;974
245;0.0010911;917
246;0.001304;767
247;0.0029706;337
248;0.0011772;849
249;0.0010385;963
250;0.0010114;989
251;0.0009904;1010
252;0.0009971;1003
253;0.0010217;979
254;0.0010373;964
255;0.0009953;1005
256;0.0009928;1007
257;0.0009835;1017
258;0.0014527;688
259;0.0012127;825
260;0.0028354;353
261;0.0015519;644
262;0.0010012;999
263;0.0009742;1026
264;0.0012571;795
265;0.0010668;937
266;0.0010484;954
267;0.0011047;905
268;0.0009537;1049
269;0.0009722;1029
270;0.0009807;1020
271;0.0012594;794
272;0.0026247;381
273;0.0025182;397
274;0.0010735;932
275;0.0010501;952
276;0.0011933;838
277;0.0011524;868
278;0.0012954;772
279;0.0009604;1041
280;0.0009881;1012
281;0.0010311;970
282;0.001045;957
283;0.0012287;814
284;0.0018323;546
285;0.0018663;536
286;0.0018975;527
287;0.0010235;977
288;0.0010541;949
289;0.0010548;948
290;0.0010879;919
291;0.0010488;953
292;0.0009587;1043
293;0.0009627;1039
294;0.0009665;1035
295;0.001287;777
296;0.0021983;455
297;0.00167;599
298;0.0031902;313
299;0.0013865;721
300;0.0013146;761
301;0.0011056;904
302;0.0010808;925
303;0.0010406;961
304;0.0010324;969
305;0.0011198;893
306;0.0024094;415
307;0.0011938;838
308;0.0011568;864
309;0.0018049;554
310;0.0017764;563
311;0.0014049;712
312;0.0012131;824
313;0.001068;936
314;0.0011762;850
315;0.0009512;1051
316;0.0011118;899
317;0.0010278;973
318;0.0011521;868
319;0.0029689;337
320;0.001346;743
321;0.0019701;508
322;0.0017736;564
323;0.0011034;906
324;0.001114;898
325;0.0010749;930
326;0.001081;925
327;0.001064;940
328;0.0010774;928
329;0.0015424;648
330;0.0012588;794
331;0.0009958;1004
332;0.0010902;917
333;0.0015179;659
334;0.0029354;341
335;0.0017197;581
336;0.0011766;850
337;0.0009824;1018
338;0.001123;890
339;0.0010887;919
340;0.0010749;930
341;0.0014817;675
342;0.0011741;852
343;0.0011579;864
344;0.0013508;740
345;0.0014191;705
346;0.002912;343
347;0.0010576;946
348;0.001092;916
349;0.0009953;1005
350;0.001103;907
351;0.0011053;905
352;0.0010794;926
353;0.0017873;560
354;0.0011037;906
355;0.0010705;934
356;0.0010362;965
357;0.0013045;767
358;0.0014715;680
359;0.0026799;373
360;0.0011784;849
361;0.0010742;931
362;0.0011739;852
363;0.0011161;896
364;0.0018259;548
365;0.0012553;797
366;0.0010501;952
367;0.0013331;750
368;0.0010204;980
369;0.0011056;904
370;0.0013271;754
371;0.0016053;623
372;0.0020164;496
373;0.0010743;931
374;0.0012043;830
375;0.0013075;765
376;0.0016359;611
377;0.0011765;850
378;0.0010492;953
379;0.0010525;950
380;0.0010258;975
381;0.0010747;930
382;0.0011543;866
383;0.0011326;883
384;0.0017203;581
385;0.0018377;544
386;0.0010057;994
387;0.0010403;961
388;0.0019838;504
389;0.0011981;835
390;0.0011615;861
391;0.0009908;1009
392;0.0009747;1026
393;0.0009507;1052
394;0.0009523;1050
395;0.0009514;1051
396;0.0013016;768
397;0.0012594;794
398;0.0024145;414
399;0.0013751;727
400;0.0027132;369
401;0.0012147;823
402;0.0010352;966
403;0.0012689;788
404;0.0011464;872
405;0.0009569;1045
406;0.0009728;1028
407;0.0010262;974
408;0.0012686;788
409;0.0013419;745
410;0.0026499;377
411;0.0019134;523
412;0.0011381;879
413;0.0010609;943
414;0.0011611;861
415;0.0015516;644
416;0.0011071;903
417;0.0010553;948
418;0.0010385;963
419;0.0010862;921
420;0.0011103;901
421;0.0013111;763
422;0.0022169;451
423;0.0020971;477
424;0.0012038;831
425;0.0010853;921
426;0.0010459;956
427;0.0009733;1027
428;0.0010557;947
429;0.0009972;1003
430;0.0010384;963
431;0.0012706;787
432;0.0011728;853
433;0.0010282;973
434;0.0011313;884
435;0.0020652;484
436;0.0027627;362
437;0.0011018;908
438;0.0010342;967
439;0.0011228;891
440;0.0010739;931
441;0.0013417;745
442;0.0011081;902
443;0.0010437;958
444;0.0010797;926
445;0.0010559;947
446;0.0011928;838
447;0.002304;434
448;0.0026503;377
449;0.0013974;716
450;0.0010797;926
451;0.00104;962
452;0.0010196;981
453;0.000916;1092
454;0.0010232;977
455;0.0009417;1062
456;0.0009323;1073
457;0.0009883;1012
458;0.0011246;889
459;0.0018873;530
460;0.0012742;785
461;0.0029533;339
462;0.001431;699
463;0.001085;922
464;0.0010039;996
465;0.0011756;851
466;0.0010709;934
467;0.0008981;1113
468;0.0014729;679
469;0.0009754;1025
470;0.0009764;1024
471;0.0017318;577
472;0.0013079;765
473;0.0013518;740
474;0.001952;512
475;0.0009854;1015
476;0.0012527;798
477;0.0012508;799
478;0.00095;1053
479;0.0009501;1053
480;0.001158;864
481;0.0013626;734
482;0.0009478;1055
483;0.001005;995
484;0.0039636;252
485;0.002498;400
486;0.0013958;716
487;0.0018608;537
488;0.0012851;778
489;0.0009817;1019
490;0.0011042;906
491;0.0010468;955
492;0.0011874;842
493;0.0013095;764
494;0.0013987;715
495;0.0010132;987
496;0.0014335;698
497;0.0028356;353
498;0.0014566;687
499;0.0011889;841
