Frame;DeltaTime;FPS
Average;0.000665651;1502
0;0.0338694;30
1;0.0107094;93
2;0.002683;373
3;0.0025275;396
4;0.0029113;343
5;0.0007396;1352
6;0.0003672;2723
7;0.0003447;2901
8;0.000943;1060
9;0.0008668;1154
10;0.0005935;1685
11;0.0003718;2690
12;0.0007271;1375
13;0.0004573;2187
14;0.0006159;1624
15;0.0003666;2728
16;0.000409;2445
17;0.0004463;2241
18;0.0003088;3238
19;0.0002762;3621
20;0.0003167;3158
21;0.0006886;1452
22;0.0005176;1932
23;0.0003734;2678
24;0.0003387;2952
25;0.0003488;2867
26;0.0006131;1631
27;0.0006611;1513
28;0.0004189;2387
29;0.000399;2506
30;0.0004589;2179
31;0.0005787;1728
32;0.0011256;888
33;0.0007419;1348
34;0.0011276;887
35;0.0007693;1300
36;0.000578;1730
37;0.0010153;985
38;0.0005161;1938
39;0.0004844;2064
40;0.0006557;1525
41;0.0005095;1963
42;0.000368;2717
43;0.0004751;2105
44;0.0003648;2741
45;0.0003395;2946
46;0.0003197;3128
47;0.000294;3401
48;0.0003298;3032
49;0.0003202;3123
50;0.0003131;3194
51;0.0004188;2388
52;0.0004629;2160
53;0.0004659;2146
54;0.0006445;1552
55;0.0005258;1902
56;0.0005215;1918
57;0.0004415;2265
58;0.0005378;1859
59;0.0006506;1537
60;0.0011356;881
61;0.0010905;917
62;0.0004636;2157
63;0.0003634;2752
64;0.0005355;1867
65;0.0004766;2098
66;0.000295;3390
67;0.0003079;3248
68;0.0004899;2041
69;0.0002924;3420
70;0.0003951;2531
71;0.0013923;718
72;0.0005386;1857
73;0.0006841;1462
74;0.0005695;1756
75;0.0003878;2579
76;0.0004376;2285
77;0.0004365;2291
78;0.0003251;3076
79;0.0004294;2329
80;0.0004333;2308
81;0.0002812;3556
82;0.0003114;3211
83;0.0006143;1628
84;0.0006069;1648
85;0.0003225;3101
86;0.0006466;1547
87;0.0004747;2107
88;0.0006635;1507
89;0.0017597;568
90;0.0013927;718
91;0.0013133;761
92;0.0006792;1472
93;0.0003913;2556
94;0.0003776;2648
95;0.0006611;1513
96;0.0004546;2200
