Frame;DeltaTime;FPS
Average;0.000655147;1526
0;0.0367173;27
1;0.0058061;172
2;0.0033768;296
3;0.0007383;1354
4;0.0004448;2248
5;0.0003315;3017
6;0.0011137;898
7;0.0056501;177
8;0.0007875;1270
9;0.0005316;1881
10;0.0016445;608
11;0.0006178;1619
12;0.0004598;2175
13;0.0004689;2133
14;0.000565;1770
15;0.0005941;1683
16;0.0006482;1543
17;0.0004449;2248
18;0.0003488;2867
19;0.0005829;1716
20;0.0005734;1744
21;0.0005355;1867
22;0.0004637;2157
23;0.0005174;1933
24;0.0005725;1747
25;0.0009724;1028
26;0.0010144;986
27;0.0005274;1896
28;0.0012031;831
29;0.0021127;473
30;0.000808;1238
31;0.0003578;2795
32;0.0011388;878
33;0.0008572;1167
34;0.0005061;1976
35;0.0003783;2643
36;0.0006418;1558
37;0.0005682;1760
38;0.0002981;3355
39;0.0003057;3271
40;0.0002937;3405
41;0.001146;873
42;0.0003313;3018
43;0.0002987;3348
44;0.0004719;2119
45;0.0005905;1693
46;0.00046;2174
47;0.00132;758
48;0.0006174;1620
49;0.0008907;1123
50;0.0005356;1867
51;0.0003498;2859
52;0.0003903;2562
53;0.0021179;472
54;0.0010813;925
55;0.0006622;1510
56;0.000563;1776
57;0.0006965;1436
58;0.0005529;1809
59;0.0003721;2687
60;0.0004154;2407
61;0.0004834;2069
62;0.0003814;2622
63;0.0003795;2635
64;0.000531;1883
65;0.0004774;2095
66;0.0009747;1026
67;0.0004609;2170
68;0.0003435;2911
69;0.000345;2899
70;0.001208;828
71;0.000952;1050
72;0.0007217;1386
73;0.0003775;2649
74;0.0003527;2835
75;0.0007001;1428
76;0.0005169;1935
77;0.00038;2632
78;0.0003482;2872
79;0.0003374;2964
80;0.0008249;1212
81;0.0007005;1428
82;0.0004186;2389
83;0.0005674;1762
84;0.0005545;1803
85;0.0004951;2020
86;0.0004125;2424
87;0.0008683;1152
88;0.0008466;1181
89;0.0006706;1491
90;0.0003976;2515
91;0.0004677;2138
92;0.0008126;1231
93;0.0005191;1926
94;0.0004671;2141
95;0.0003913;2556
96;0.0003078;3249
97;0.0003347;2988
98;0.0015506;645
99;0.0006858;1458
100;0.000435;2299
101;0.0003123;3202
102;0.000727;1376
103;0.0004209;2376
104;0.0003113;3212
105;0.000321;3115
106;0.0003128;3197
107;0.000259;3861
108;0.0002555;3914
109;0.0002564;3900
110;0.0004682;2136
111;0.000877;1140
112;0.001474;678
113;0.0006164;1622
114;0.0004997;2001
115;0.0006593;1517
116;0.0006647;1504
117;0.0004389;2278
118;0.0003381;2958
119;0.0004718;2120
120;0.0008977;1114
121;0.0007056;1417
122;0.0003333;3000
123;0.0008453;1183
124;0.0004524;2210
125;0.0010327;968
126;0.0006879;1454
127;0.0003506;2852
128;0.0002823;3542
129;0.000642;1558
130;0.0005265;1899
131;0.0003739;2675
132;0.0003737;2676
133;0.0006351;1575
134;0.0003617;2765
135;0.0003299;3031
136;0.0002472;4045
137;0.0002338;4277
138;0.0002371;4218
139;0.0003234;3092
140;0.0004619;2165
141;0.0013355;749
142;0.0006171;1620
143;0.0005748;1740
144;0.00036;2778
145;0.0003949;2532
146;0.0003859;2591
147;0.000894;1119
148;0.0029224;342
149;0.0016863;593
150;0.0005641;1773
151;0.000319;3135
152;0.000466;2146
153;0.0006167;1622
154;0.0004676;2139
155;0.0003618;2764
156;0.0004464;2240
157;0.0003145;3180
158;0.0003139;3186
159;0.0005119;1954
160;0.0004279;2337
161;0.0004101;2438
162;0.0002652;3771
163;0.0003141;3184
164;0.0004222;2369
165;0.0007363;1358
166;0.0004747;2107
167;0.0002755;3630
168;0.0003795;2635
169;0.0005043;1983
170;0.000773;1294
171;0.0004989;2004
172;0.0008807;1135
173;0.0005605;1784
174;0.0004903;2040
175;0.0004592;2178
176;0.000908;1101
177;0.0004311;2320
178;0.0012308;812
179;0.0007515;1331
180;0.0004922;2032
181;0.0004354;2297
182;0.0003283;3046
183;0.0003327;3006
184;0.0002985;3350
185;0.0002232;4480
186;0.0003163;3162
187;0.0005538;1806
188;0.0003895;2567
189;0.0004102;2438
190;0.0004219;2370
191;0.000391;2558
192;0.0004301;2325
193;0.0003043;3286
194;0.0003315;3017
195;0.0004078;2452
196;0.0007651;1307
197;0.0004913;2035
198;0.0004061;2462
