Frame;DeltaTime;FPS
Average;0.000894102;1118
0;0.0320934;31
1;0.0047424;211
2;0.0027459;364
3;0.001984;504
4;0.0005996;1668
5;0.000694;1441
6;0.0016958;590
7;0.0019741;507
8;0.003243;308
9;0.0009117;1097
10;0.000881;1135
11;0.0021311;469
12;0.0006292;1589
13;0.0003488;2867
14;0.0003505;2853
15;0.0003138;3187
16;0.0005647;1771
17;0.0003621;2762
18;0.0002903;3445
19;0.0003533;2830
20;0.0004263;2346
21;0.0004461;2242
22;0.0004927;2030
23;0.0005017;1993
24;0.0002937;3405
25;0.0005158;1939
26;0.0008761;1141
27;0.0005046;1982
28;0.00034;2941
29;0.0012208;819
30;0.0010339;967
31;0.0004596;2176
32;0.0004519;2213
33;0.0006641;1506
34;0.0003726;2684
35;0.0003351;2984
36;0.0002603;3842
37;0.0004068;2458
38;0.0005018;1993
39;0.0019474;514
40;0.0005914;1691
41;0.000439;2278
42;0.0003885;2574
43;0.0006917;1446
44;0.0023673;422
45;0.0010411;961
46;0.0017579;569
47;0.0008923;1121
48;0.0010642;940
49;0.0008576;1166
50;0.0006071;1647
51;0.0003444;2904
52;0.0007098;1409
53;0.0009519;1051
54;0.0003906;2560
55;0.0004384;2281
56;0.0005027;1989
57;0.0002755;3630
58;0.000268;3731
59;0.0002427;4120
60;0.0003446;2902
61;0.0005356;1867
62;0.001612;620
63;0.000682;1466
64;0.0008629;1159
65;0.0004822;2074
66;0.0004479;2233
67;0.0003395;2946
68;0.0003022;3309
69;0.0008712;1148
70;0.0004194;2384
71;0.0004574;2186
72;0.0004988;2005
73;0.0003526;2836
74;0.0003171;3154
75;0.001745;573
76;0.0009257;1080
77;0.0003925;2548
78;0.0002246;4452
79;0.0001968;5081
80;0.0002831;3532
81;0.0004212;2374
82;0.0004047;2471
83;0.0004743;2108
84;0.0007772;1287
85;0.0004394;2276
86;0.0004656;2148
87;0.0008924;1121
88;0.0012753;784
89;0.0007555;1324
90;0.0002965;3373
91;0.0004115;2430
92;0.0009011;1110
93;0.0008384;1193
94;0.0004463;2241
95;0.0003375;2963
96;0.0002666;3751
97;0.0010117;988
98;0.0011919;839
99;0.0008182;1222
100;0.0014269;701
101;0.0012855;778
102;0.0003539;2826
103;0.000873;1145
104;0.0006604;1514
105;0.000322;3106
106;0.0008103;1234
107;0.0003337;2997
