Frame;DeltaTime;FPS
Average;0.0365434;27
0;0.0695772;14
1;0.0380814;26
2;0.0387962;26
3;0.0359887;28
4;0.0341854;29
5;0.0355679;28
6;0.0360333;28
7;0.036096;28
8;0.0364787;27
9;0.0362284;28
10;0.0367662;27
11;0.0364601;27
12;0.0362829;28
13;0.0367409;27
14;0.0365907;27
15;0.03841;26
16;0.0374443;27
17;0.034232;29
18;0.034937;29
19;0.0351433;28
20;0.0360122;28
21;0.0349404;29
22;0.0363579;28
23;0.037724;27
24;0.0363983;27
25;0.0389941;26
26;0.0363196;28
27;0.0359829;28
28;0.038028;26
29;0.0377675;26
30;0.0381569;26
31;0.0354476;28
32;0.0351051;28
33;0.0356881;28
34;0.0367856;27
35;0.0379244;26
36;0.0385901;26
37;0.0408793;24
38;0.0416312;24
39;0.0411551;24
40;0.0413955;24
41;0.0398773;25
42;0.0377146;27
43;0.0368694;27
44;0.036171;28
45;0.0357603;28
46;0.0354212;28
47;0.035467;28
48;0.034695;29
49;0.0357753;28
50;0.0365094;27
51;0.0361577;28
52;0.0350559;29
53;0.0346806;29
54;0.0349395;29
55;0.0354951;28
56;0.0349859;29
57;0.0352023;28
58;0.0350714;29
59;0.036896;27
60;0.0355731;28
61;0.0351848;28
62;0.0366954;27
63;0.0375591;27
64;0.0372981;27
65;0.0384545;26
66;0.0378945;26
67;0.0376546;27
68;0.0354031;28
69;0.0375524;27
70;0.0372593;27
71;0.0354821;28
72;0.0341957;29
73;0.0342814;29
74;0.0347676;29
75;0.0359303;28
76;0.0364534;27
77;0.0369765;27
78;0.0363453;28
79;0.0377114;27
80;0.0373436;27
81;0.0364585;27
82;0.0367085;27
83;0.0355848;28
84;0.0352855;28
85;0.0363292;28
86;0.0372587;27
87;0.036069;28
88;0.0359116;28
89;0.0369448;27
90;0.036752;27
91;0.0369072;27
92;0.0372459;27
93;0.0381094;26
94;0.0388402;26
95;0.0374221;27
96;0.0372064;27
97;0.0365555;27
98;0.0367246;27
99;0.0378671;26
100;0.0361616;28
101;0.0372382;27
102;0.0378371;26
103;0.0380637;26
104;0.0373325;27
105;0.0381261;26
106;0.0389339;26
107;0.036177;28
108;0.0356773;28
109;0.036253;28
110;0.0371866;27
111;0.0370899;27
112;0.0413006;24
113;0.0359587;28
114;0.03534;28
115;0.0351729;28
116;0.0350788;29
117;0.0350584;29
118;0.0352245;28
119;0.0347058;29
120;0.0351798;28
121;0.0346921;29
122;0.0345315;29
123;0.0369073;27
124;0.0390316;26
125;0.0379752;26
126;0.0361601;28
127;0.0388171;26
128;0.035548;28
129;0.0357877;28
130;0.0359994;28
131;0.0358398;28
132;0.0366536;27
133;0.0365607;27
134;0.0362541;28
135;0.0382709;26
136;0.036463;27
137;0.0372625;27
138;0.0359064;28
139;0.0360091;28
140;0.0365854;27
141;0.036981;27
142;0.0387771;26
143;0.038078;26
144;0.036605;27
145;0.0363365;28
146;0.0361623;28
147;0.0366731;27
148;0.0359333;28
149;0.0357258;28
150;0.0365939;27
151;0.0370384;27
152;0.0362092;28
153;0.0358576;28
154;0.0359787;28
155;0.0361455;28
156;0.0359586;28
157;0.0361727;28
158;0.0360647;28
159;0.0357965;28
160;0.0364462;27
161;0.0378158;26
162;0.0381529;26
163;0.0358411;28
164;0.0359328;28
165;0.0374113;27
166;0.0361234;28
167;0.0356145;28
168;0.0376077;27
169;0.0354623;28
170;0.0349985;29
171;0.0366802;27
172;0.0372014;27
173;0.0361694;28
174;0.0373212;27
175;0.0371754;27
176;0.0418691;24
177;0.0395919;25
178;0.0371744;27
179;0.0369922;27
180;0.0392379;25
181;0.0375945;27
182;0.0368156;27
183;0.0365924;27
184;0.0378283;26
185;0.0367373;27
186;0.0370951;27
187;0.0390833;26
188;0.0399658;25
189;0.0388977;26
190;0.0393842;25
191;0.0384087;26
192;0.0378935;26
193;0.0381779;26
194;0.0402958;25
195;0.0388378;26
196;0.0379699;26
197;0.03894;26
198;0.0385929;26
199;0.0380196;26
200;0.0378264;26
201;0.0377749;26
202;0.0383141;26
203;0.0378616;26
204;0.0383324;26
205;0.0352887;28
206;0.0356245;28
207;0.0362827;28
208;0.0363609;28
209;0.0363523;28
210;0.0362991;28
211;0.0360157;28
212;0.0363198;28
213;0.03572;28
214;0.0369584;27
215;0.0381971;26
216;0.035259;28
217;0.0349046;29
218;0.035244;28
219;0.0348641;29
220;0.0360335;28
221;0.0355991;28
222;0.0368409;27
223;0.0365805;27
224;0.0359722;28
225;0.0376336;27
226;0.0378547;26
227;0.037479;27
228;0.0374353;27
229;0.0380463;26
230;0.0358959;28
231;0.0351193;28
232;0.0355132;28
233;0.0362417;28
234;0.0359342;28
235;0.0360182;28
236;0.0357335;28
237;0.0366775;27
238;0.0355752;28
239;0.0359541;28
240;0.0360502;28
241;0.0367743;27
242;0.0384325;26
243;0.039413;25
244;0.0376757;27
245;0.0381711;26
246;0.035789;28
247;0.0372503;27
248;0.0349183;29
249;0.0344989;29
250;0.0347657;29
251;0.0353639;28
252;0.0354543;28
253;0.0371407;27
254;0.0354509;28
255;0.0356809;28
256;0.0356918;28
257;0.0354298;28
258;0.0354197;28
259;0.0355707;28
260;0.0355219;28
261;0.0356269;28
262;0.0357256;28
263;0.0354235;28
264;0.0366774;27
265;0.035777;28
266;0.0355421;28
267;0.0357329;28
268;0.0361862;28
269;0.0359682;28
270;0.036447;27
271;0.0358801;28
272;0.0361246;28
273;0.035599;28
274;0.0354104;28
275;0.0363884;27
276;0.0356948;28
277;0.036178;28
278;0.035606;28
279;0.0357751;28
280;0.0357594;28
281;0.0356499;28
282;0.0356628;28
283;0.0355442;28
284;0.0377473;26
285;0.0351996;28
286;0.0348948;29
287;0.0349246;29
288;0.0346974;29
289;0.0347469;29
290;0.0351167;28
291;0.0346495;29
292;0.0350947;28
293;0.0359003;28
294;0.0347771;29
295;0.0348053;29
296;0.0358554;28
297;0.0349961;29
298;0.0360846;28
299;0.0352743;28
300;0.0346855;29
301;0.0345393;29
302;0.0351188;28
303;0.0346244;29
304;0.0351789;28
305;0.0354865;28
306;0.0362741;28
307;0.035752;28
308;0.0357426;28
309;0.0354021;28
310;0.0360122;28
311;0.0355286;28
312;0.0355948;28
313;0.0352023;28
314;0.0360747;28
315;0.0357913;28
316;0.0371202;27
317;0.0378242;26
318;0.0372214;27
319;0.0381;26
320;0.0364551;27
321;0.0348954;29
322;0.0349799;29
323;0.0357062;28
324;0.0361282;28
325;0.0355726;28
326;0.037064;27
327;0.0367524;27
328;0.0357414;28
329;0.0357156;28
330;0.0353421;28
331;0.03529;28
332;0.0354312;28
333;0.0353055;28
334;0.0351876;28
335;0.0360301;28
336;0.0364057;27
337;0.0362942;28
338;0.0366357;27
339;0.036507;27
340;0.0366513;27
341;0.0365765;27
342;0.0363871;27
343;0.0361493;28
344;0.036449;27
345;0.0370526;27
346;0.0365587;27
347;0.0364931;27
348;0.0372432;27
349;0.0361282;28
350;0.0376586;27
351;0.0354753;28
352;0.0352808;28
353;0.0375796;27
354;0.0363991;27
355;0.0365166;27
356;0.035802;28
357;0.0351958;28
358;0.0350596;29
359;0.0349246;29
360;0.0355578;28
361;0.0352986;28
362;0.0355025;28
363;0.0365433;27
364;0.0357884;28
365;0.0374659;27
366;0.0377311;27
367;0.0381529;26
368;0.037522;27
369;0.0376921;27
370;0.0368271;27
371;0.0373959;27
372;0.0376652;27
373;0.0369977;27
374;0.037323;27
375;0.0381035;26
376;0.0372821;27
377;0.037646;27
378;0.0373547;27
379;0.0368663;27
380;0.0352502;28
381;0.0356437;28
382;0.035455;28
383;0.0348105;29
384;0.03481;29
385;0.0346927;29
386;0.0347309;29
387;0.0373212;27
388;0.0353005;28
389;0.0356301;28
390;0.0355949;28
391;0.0352467;28
392;0.035005;29
393;0.0351522;28
394;0.0350674;29
395;0.0348471;29
396;0.0374331;27
397;0.035398;28
398;0.0406003;25
399;0.0370493;27
400;0.0368564;27
401;0.0371215;27
402;0.0361808;28
