Frame;DeltaTime;FPS
Average;0.0151171;66
0;0.049925;20
1;0.0154288;65
2;0.0158684;63
3;0.0145732;69
4;0.0150907;66
5;0.0180863;55
6;0.0142858;70
7;0.0143735;70
8;0.0146476;68
9;0.0141681;71
10;0.0141585;71
11;0.0146357;68
12;0.0143601;70
13;0.014613;68
14;0.014362;70
15;0.0143267;70
16;0.0145629;69
17;0.0151258;66
18;0.0148206;67
19;0.0150558;66
20;0.0151543;66
21;0.0152931;65
22;0.0153404;65
23;0.0155727;64
24;0.014421;69
25;0.0143162;70
26;0.0148124;68
27;0.0146897;68
28;0.0161057;62
29;0.0155956;64
30;0.0148023;68
31;0.0146361;68
32;0.0146274;68
33;0.0149766;67
34;0.0147496;68
35;0.0147188;68
36;0.015044;66
37;0.0148794;67
38;0.0150227;67
39;0.0148244;67
40;0.0150352;67
41;0.0150056;67
42;0.017106;58
43;0.0145005;69
44;0.0142859;70
45;0.0140674;71
46;0.0140742;71
47;0.0142995;70
48;0.0146688;68
49;0.014025;71
50;0.0140707;71
51;0.01397;72
52;0.0138718;72
53;0.0140206;71
54;0.0140243;71
55;0.0145634;69
56;0.0145725;69
57;0.0139636;72
58;0.0137831;73
59;0.0139438;72
60;0.0138272;72
61;0.0139321;72
62;0.0139987;71
63;0.0142688;70
64;0.0142842;70
65;0.0140087;71
66;0.014069;71
67;0.0141661;71
68;0.0141996;70
69;0.0147275;68
70;0.0141802;71
71;0.0151922;66
72;0.0145993;68
73;0.014088;71
74;0.0139547;72
75;0.0141114;71
76;0.0141487;71
77;0.0142215;70
78;0.0145254;69
79;0.0143707;70
80;0.014253;70
81;0.0146147;68
82;0.0143711;70
83;0.015884;63
84;0.0159307;63
85;0.0150898;66
86;0.0152839;65
87;0.0155207;64
88;0.0159492;63
89;0.0158899;63
90;0.0162027;62
91;0.0166795;60
92;0.0173263;58
93;0.0176162;57
94;0.0178084;56
95;0.0179464;56
96;0.0182036;55
97;0.0199759;50
98;0.0173728;58
99;0.0166763;60
100;0.0162368;62
101;0.0159484;63
102;0.0155785;64
103;0.0153115;65
104;0.0153149;65
105;0.0154311;65
106;0.015065;66
107;0.015462;65
108;0.0148919;67
109;0.0145324;69
110;0.0144393;69
111;0.0143535;70
112;0.0144008;69
113;0.0143409;70
114;0.014263;70
115;0.0143986;69
116;0.0142663;70
117;0.0149279;67
118;0.0141712;71
119;0.0143539;70
120;0.0146048;68
121;0.014443;69
122;0.0142942;70
123;0.0141844;70
124;0.0143847;70
125;0.0146476;68
126;0.014149;71
127;0.015198;66
128;0.0149998;67
129;0.0144206;69
130;0.0142577;70
131;0.014232;70
132;0.0142607;70
133;0.0142026;70
134;0.0143409;70
135;0.0147116;68
136;0.0143409;70
137;0.0148161;67
138;0.0142549;70
139;0.0142814;70
140;0.0159207;63
141;0.0143956;69
142;0.0142443;70
143;0.0148311;67
144;0.0146679;68
145;0.0147643;68
146;0.014722;68
147;0.0146409;68
148;0.0150158;67
149;0.0149424;67
150;0.0150628;66
151;0.0146502;68
152;0.0146424;68
153;0.0146738;68
154;0.0150526;66
155;0.0154904;65
156;0.0146242;68
157;0.0148527;67
158;0.0147757;68
159;0.0146363;68
160;0.0147168;68
161;0.0148514;67
162;0.0162836;61
163;0.0149477;67
164;0.0143874;70
165;0.0139464;72
166;0.0140725;71
167;0.0140077;71
168;0.013991;71
169;0.0141089;71
170;0.014205;70
171;0.0141853;70
172;0.014858;67
173;0.0143483;70
174;0.0142223;70
175;0.0145142;69
176;0.0149036;67
177;0.0141817;71
178;0.0141998;70
179;0.0141652;71
180;0.0143094;70
181;0.015674;64
182;0.0145109;69
183;0.0145964;69
184;0.0149683;67
185;0.0147584;68
186;0.0150158;67
187;0.0154863;65
188;0.015197;66
189;0.0152518;66
190;0.0156609;64
191;0.015525;64
192;0.0151995;66
193;0.015169;66
194;0.0152676;65
195;0.01519;66
196;0.0152048;66
197;0.0151664;66
198;0.0151555;66
199;0.0153971;65
200;0.0152824;65
201;0.0153488;65
202;0.0150795;66
203;0.0143241;70
204;0.0141076;71
205;0.0141681;71
206;0.0143976;69
207;0.0143699;70
208;0.0144457;69
209;0.0149975;67
210;0.0145475;69
211;0.0145646;69
212;0.0144761;69
213;0.0146166;68
214;0.0147724;68
215;0.014515;69
216;0.014626;68
217;0.0145966;69
218;0.0145365;69
219;0.0145915;69
220;0.0146225;68
221;0.0147069;68
222;0.0147192;68
223;0.015255;66
224;0.0152117;66
225;0.0147309;68
226;0.0148379;67
227;0.0148703;67
228;0.0149207;67
229;0.0151293;66
230;0.015073;66
231;0.0153519;65
232;0.0151419;66
233;0.0152242;66
234;0.0150517;66
235;0.0151789;66
236;0.0151743;66
237;0.0151015;66
238;0.0154799;65
239;0.0152835;65
240;0.015552;64
241;0.0154081;65
242;0.0154642;65
243;0.0163826;61
244;0.0153404;65
245;0.0155858;64
246;0.0150088;67
247;0.0148868;67
248;0.0147575;68
249;0.0148621;67
250;0.0147877;68
251;0.0146612;68
252;0.0151893;66
253;0.0148083;68
254;0.0146566;68
255;0.0145056;69
256;0.0147224;68
257;0.0145736;69
258;0.0168168;59
259;0.0158622;63
260;0.0149481;67
261;0.0154448;65
262;0.0150688;66
263;0.0147991;68
264;0.0150705;66
265;0.0166041;60
266;0.0156262;64
267;0.014692;68
268;0.0150118;67
269;0.015181;66
270;0.0152005;66
271;0.0153648;65
272;0.0148952;67
273;0.0148007;68
274;0.015028;67
275;0.0152675;65
276;0.0152856;65
277;0.0156515;64
278;0.0158717;63
279;0.0154543;65
280;0.0155748;64
281;0.0155843;64
282;0.0154081;65
283;0.0152709;65
284;0.0151455;66
285;0.0148906;67
286;0.014703;68
287;0.0147204;68
288;0.0150978;66
289;0.0150362;67
290;0.0149466;67
291;0.0147423;68
292;0.014874;67
293;0.014973;67
294;0.0154801;65
295;0.0151043;66
296;0.0148978;67
297;0.014932;67
298;0.014722;68
299;0.0148539;67
300;0.0150421;66
301;0.0148367;67
302;0.0149975;67
303;0.0148358;67
304;0.014824;67
305;0.0146902;68
306;0.0149867;67
307;0.018737;53
308;0.0169584;59
309;0.0154834;65
310;0.0143149;70
311;0.0148581;67
312;0.014635;68
313;0.0147167;68
314;0.0147328;68
315;0.0148409;67
316;0.0149755;67
317;0.0150899;66
318;0.0151806;66
319;0.0151332;66
320;0.0150087;67
321;0.0150433;66
322;0.0148095;68
323;0.0140238;71
324;0.0143852;70
325;0.0140928;71
