Frame;DeltaTime;FPS
Average;0.000712757;1403
0;0.0450306;22
1;0.000941;1063
2;0.0040571;246
3;0.0023512;425
4;0.0021403;467
5;0.0006804;1470
6;0.0003179;3146
7;0.0012536;798
8;0.0022073;453
9;0.0016695;599
10;0.0018151;551
11;0.0015685;638
12;0.0016762;597
13;0.0016683;599
14;0.0015957;627
15;0.001639;610
16;0.0016404;610
17;0.0028208;355
18;0.0013398;746
19;0.0006296;1588
20;0.0004135;2418
21;0.0019165;522
22;0.0006034;1657
23;0.000312;3205
24;0.0006335;1579
25;0.000425;2353
26;0.0003573;2799
27;0.0002059;4857
28;0.0005561;1798
29;0.0003774;2650
30;0.0003056;3272
31;0.0006219;1608
32;0.0007598;1316
33;0.0007744;1291
34;0.0004544;2201
35;0.000492;2033
36;0.0005504;1817
37;0.0002817;3550
38;0.0007765;1288
39;0.0004089;2446
40;0.0002936;3406
41;0.0003579;2794
42;0.0005722;1748
43;0.0003927;2546
44;0.00054;1852
45;0.0005377;1860
46;0.0004362;2293
47;0.0008716;1147
48;0.000515;1942
49;0.001071;934
50;0.0008736;1145
51;0.000541;1848
52;0.00032;3125
53;0.0066871;150
54;0.0010668;937
55;0.0006867;1456
56;0.0004876;2051
57;0.0003226;3100
58;0.0002742;3647
59;0.0004228;2365
60;0.0005057;1977
61;0.007284;137
62;0.0018449;542
63;0.0003346;2989
64;0.0007337;1363
65;0.0075017;133
66;0.0042459;236
67;0.0009715;1029
68;0.0006681;1497
69;0.0004795;2086
70;0.0004683;2135
71;0.0003408;2934
72;0.0003144;3181
73;0.000559;1789
74;0.0002916;3429
75;0.0002707;3694
76;0.0002832;3531
77;0.0003306;3025
78;0.0006362;1572
79;0.000721;1387
80;0.0004746;2107
81;0.0005461;1831
82;0.0006836;1463
83;0.0006112;1636
84;0.0003611;2769
85;0.0002834;3529
86;0.0009075;1102
87;0.0004445;2250
88;0.000498;2008
89;0.0014055;711
90;0.0007738;1292
91;0.00049;2041
92;0.0003623;2760
93;0.0008988;1113
94;0.0017095;585
95;0.0014947;669
96;0.0007691;1300
97;0.0007619;1313
98;0.0004788;2089
99;0.0005274;1896
100;0.0005232;1911
101;0.0005416;1846
102;0.0006802;1470
103;0.0005932;1686
104;0.0006458;1548
105;0.0005502;1818
106;0.0005239;1909
107;0.0004552;2197
108;0.0004618;2165
109;0.0005515;1813
110;0.0014668;682
111;0.0008517;1174
112;0.0005695;1756
113;0.0005113;1956
114;0.000436;2294
115;0.0002846;3514
116;0.0008599;1163
117;0.0006195;1614
118;0.0004603;2172
119;0.000461;2169
120;0.0004155;2407
121;0.0004512;2216
122;0.0005066;1974
123;0.0005679;1761
124;0.0002888;3463
125;0.0003696;2706
126;0.0003969;2520
127;0.0003938;2539
128;0.0007064;1416
129;0.0003602;2776
130;0.0004164;2402
131;0.0003699;2703
132;0.0004882;2048
133;0.0006432;1555
134;0.0005273;1896
135;0.0004575;2186
136;0.0003956;2528
137;0.0004449;2248
138;0.0005572;1795
139;0.0003449;2899
140;0.0002408;4153
141;0.0012204;819
142;0.000615;1626
143;0.0005492;1821
144;0.0003374;2964
145;0.0002165;4619
146;0.0004439;2253
147;0.0008142;1228
148;0.0004857;2059
149;0.0003998;2501
150;0.0004595;2176
151;0.0005201;1923
152;0.0004192;2385
153;0.0003685;2714
154;0.0007564;1322
155;0.0004127;2423
156;0.0003302;3028
157;0.0003298;3032
158;0.000252;3968
159;0.0003744;2671
160;0.000455;2198
161;0.0004532;2207
162;0.0003552;2815
163;0.0003551;2816
164;0.0004653;2149
165;0.0003952;2530
166;0.0003195;3130
167;0.0005043;1983
168;0.0009829;1017
169;0.000399;2506
170;0.0005593;1788
171;0.0004159;2404
172;0.000344;2907
173;0.0002883;3469
174;0.0021342;469
175;0.0006924;1444
176;0.000543;1842
177;0.0005868;1704
178;0.0007079;1413
179;0.0007166;1395
180;0.0006717;1489
181;0.0004588;2180
182;0.0005822;1718
183;0.0007466;1339
184;0.0006465;1547
185;0.0003405;2937
186;0.0002967;3370
187;0.0004895;2043
188;0.0005356;1867
189;0.000725;1379
190;0.0009876;1013
191;0.0006356;1573
192;0.0004804;2082
193;0.0004108;2434
194;0.0002969;3368
195;0.000429;2331
196;0.0002923;3421
197;0.0005417;1846
198;0.0007823;1278
199;0.0018605;537
200;0.0008297;1205
201;0.0004861;2057
202;0.0008038;1244
203;0.0007652;1307
204;0.0004474;2235
205;0.0005959;1678
206;0.0004466;2239
207;0.0012454;803
208;0.0008989;1112
209;0.0009599;1042
210;0.0006751;1481
211;0.0003878;2579
212;0.000258;3876
213;0.0002316;4318
214;0.0002765;3617
215;0.0005376;1860
216;0.0004376;2285
217;0.0004486;2229
218;0.000391;2558
219;0.0004424;2260
220;0.0004964;2015
221;0.0003756;2662
222;0.0004162;2403
223;0.000463;2160
224;0.001525;656
225;0.0010145;986
226;0.0007296;1371
227;0.0002579;3877
228;0.0003743;2672
229;0.0004795;2086
230;0.0004225;2367
231;0.00035;2857
232;0.0008793;1137
233;0.000592;1689
234;0.0004376;2285
235;0.0011969;835
236;0.0003191;3134
237;0.0003779;2646
238;0.0006219;1608
239;0.0005978;1673
240;0.0007349;1361
241;0.0006007;1665
242;0.0004538;2204
243;0.0003385;2954
244;0.00028;3571
